src_iata,dst_iata,src_city,dst_city,distance_km,seats,load_factor,pax_onboard,avg_fare_inr,ancillary_inr,revenue_per_flight,fuel_liters_per_flight,fuel_cost_inr,fixed_cost_inr,total_cost_inr,margin_per_flight,margin_per_pax
AMD,BLR,Ahmedabad,Bangalore,1221.9,78,0.72,56,3000.0,400.0,190400.0,2859.25,118238.52013388244,250000.0,368238.5201338824,-177838.5201338824,-3175.6878595336143
AMD,BOM,Ahmedabad,Mumbai,444.2,78,0.72,56,3000.0,400.0,190400.0,1039.43,42983.53238882974,250000.0,292983.53238882974,-102583.53238882974,-1831.848792657674
AMD,CCU,Ahmedabad,Kolkata,1619.9,78,0.72,56,3000.0,400.0,190400.0,3790.57,156751.38139858033,250000.0,406751.3813985803,-216351.38139858033,-3863.4175249746486
AMD,DEL,Ahmedabad,Delhi,756.5,78,0.72,56,3000.0,400.0,190400.0,1770.21,73203.4661978491,250000.0,323203.46619784913,-132803.46619784913,-2371.4904678187345
AMD,GOI,Ahmedabad,Goa,865.0,78,0.72,56,3000.0,400.0,190400.0,2024.1,83702.57536171774,250000.0,333702.5753617177,-143302.57536171773,-2558.9745600306737
AMD,JAI,Ahmedabad,Jaipur,525.5,78,0.72,56,3000.0,400.0,190400.0,1229.67,50850.524107032,250000.0,300850.524107032,-110450.52410703199,-1972.3307876255712
AMD,MAA,Ahmedabad,Madras,1375.0,78,0.72,56,3000.0,400.0,190400.0,3217.5,133053.22673105422,250000.0,383053.22673105425,-192653.22673105425,-3440.236191625969
AMD,PNQ,Ahmedabad,Pune,517.4,78,0.72,56,3000.0,400.0,190400.0,1210.72,50066.88505604412,250000.0,300066.8850560441,-109666.88505604409,-1958.3372331436444
BBI,BLR,Bhubaneswar,Bangalore,1165.7,78,0.72,56,3000.0,400.0,190400.0,2727.74,112800.18917897927,250000.0,362800.18917897926,-172400.18917897926,-3078.5748067674867
BBI,BOM,Bhubaneswar,Mumbai,1361.7,78,0.72,56,3000.0,400.0,190400.0,3186.38,131766.32186209684,250000.0,381766.32186209684,-191366.32186209684,-3417.2557475374438
BBI,CCU,Bhubaneswar,Kolkata,381.9,78,0.72,56,3000.0,400.0,190400.0,893.65,36955.09434909296,250000.0,286955.094349093,-96555.09434909298,-1724.1981133766603
BBI,DEL,Bhubaneswar,Delhi,1277.7,78,0.72,56,3000.0,400.0,190400.0,2989.82,123637.97928361788,250000.0,373637.97928361787,-183237.97928361787,-3272.1067729217475
BBI,VTZ,Bhubaneswar,Vishakhapatnam,391.2,78,0.72,56,3000.0,400.0,190400.0,915.41,37854.93528574183,250000.0,287854.9352857418,-97454.93528574181,-1740.2667015311038
BDQ,BOM,Baroda,Mumbai,363.0,78,0.72,56,3000.0,400.0,190400.0,849.42,35126.05185699831,250000.0,285126.0518569983,-94726.0518569983,-1691.536640303541
BDQ,DEL,Baroda,Delhi,794.5,78,0.72,56,3000.0,400.0,190400.0,1859.13,76880.57355478006,250000.0,326880.57355478004,-136480.57355478004,-2437.1530991925006
BLR,AMD,Bangalore,Ahmedabad,1221.9,78,0.72,56,3000.0,400.0,190400.0,2859.25,118238.52013388244,250000.0,368238.5201338824,-177838.5201338824,-3175.6878595336143
BLR,BBI,Bangalore,Bhubaneswar,1165.7,78,0.72,56,3000.0,400.0,190400.0,2727.74,112800.18917897927,250000.0,362800.18917897926,-172400.18917897926,-3078.5748067674867
BLR,BOM,Bangalore,Mumbai,834.2,78,0.72,56,3000.0,400.0,190400.0,1952.03,80722.26578891058,250000.0,330722.26578891056,-140322.26578891056,-2505.7547462305456
BLR,CCU,Bangalore,Kolkata,1546.8,78,0.72,56,3000.0,400.0,190400.0,3619.51,149677.53991773678,250000.0,399677.5399177368,-209277.53991773678,-3737.0989271024423
BLR,COK,Bangalore,Kochi,367.3,78,0.72,56,3000.0,400.0,190400.0,859.48,35542.06287826153,250000.0,285542.06287826155,-95142.06287826155,-1698.965408540385
BLR,DEL,Bangalore,Delhi,1710.0,78,0.72,56,3000.0,400.0,190400.0,4001.4,165469.83106189288,250000.0,415469.8310618929,-225069.8310618929,-4019.1041261052305
BLR,GAU,Bangalore,Guwahati,2039.4,78,0.72,56,3000.0,400.0,190400.0,4772.2,197344.7112994365,250000.0,447344.7112994365,-256944.71129943652,-4588.298416061366
BLR,GOI,Bangalore,Goa,482.9,78,0.72,56,3000.0,400.0,190400.0,1129.99,46728.45863988312,250000.0,296728.45863988315,-106328.45863988315,-1898.722475712199
BLR,JAI,Bangalore,Jaipur,1528.0,78,0.72,56,3000.0,400.0,190400.0,3575.52,147858.42214185515,250000.0,397858.4221418551,-207458.42214185512,-3704.6146811045555
BLR,LKO,Bangalore,Lucknow,1544.1,78,0.72,56,3000.0,400.0,190400.0,3613.19,149416.18905746008,250000.0,399416.18905746005,-209016.18905746005,-3732.4319474546437
BLR,MAA,Bangalore,Madras,267.8,78,0.72,56,3000.0,400.0,190400.0,626.65,25913.847562087063,250000.0,275913.84756208706,-85513.84756208706,-1527.032992180126
BLR,NAG,Bangalore,Nagpur,889.3,78,0.72,56,3000.0,400.0,190400.0,2080.96,86053.90604452357,250000.0,336053.9060445236,-145653.90604452358,-2600.962607937921
BLR,PNQ,Bangalore,Pune,722.7,78,0.72,56,3000.0,400.0,190400.0,1691.12,69932.85867581054,250000.0,319932.8586758105,-129532.85867581051,-2313.0867620680447
BLR,TRV,Bangalore,Trivandrum,531.3,78,0.72,56,3000.0,400.0,190400.0,1243.24,51411.684102910905,250000.0,301411.6841029109,-111011.68410291092,-1982.351501837695
BLR,VTZ,Bangalore,Vishakhapatnam,776.2,78,0.72,56,3000.0,400.0,190400.0,1816.31,75109.83877043701,250000.0,325109.838770437,-134709.838770437,-2405.532835186375
BOM,AMD,Mumbai,Ahmedabad,444.2,78,0.72,56,3000.0,400.0,190400.0,1039.43,42983.53238882974,250000.0,292983.53238882974,-102583.53238882974,-1831.848792657674
BOM,BBI,Mumbai,Bhubaneswar,1361.7,78,0.72,56,3000.0,400.0,190400.0,3186.38,131766.32186209684,250000.0,381766.32186209684,-191366.32186209684,-3417.2557475374438
BOM,BDQ,Mumbai,Baroda,363.0,78,0.72,56,3000.0,400.0,190400.0,849.42,35126.05185699831,250000.0,285126.0518569983,-94726.0518569983,-1691.536640303541
BOM,BLR,Mumbai,Bangalore,834.2,78,0.72,56,3000.0,400.0,190400.0,1952.03,80722.26578891058,250000.0,330722.26578891056,-140322.26578891056,-2505.7547462305456
BOM,CCU,Mumbai,Kolkata,1665.5,78,0.72,56,3000.0,400.0,190400.0,3897.27,161163.74481496058,250000.0,411163.7448149606,-220763.74481496058,-3942.2097288385817
