src_iata,dst_iata,src_city,dst_city,distance_km,seats,load_factor,pax_onboard,avg_fare_inr,ancillary_inr,revenue_per_flight,fuel_liters_per_flight,fuel_cost_inr,fixed_cost_inr,total_cost_inr,margin_per_flight,margin_per_pax,fuel_cost_inr_shock,total_cost_inr_shock,margin_post_shock,margin_with_udan
AMD,BLR,Ahmedabad,Bangalore,1221.9,78,0.72,56,3000.0,400.0,190400.0,2859.25,118238.52013388244,250000.0,368238.5201338824,-177838.5201338824,-3175.6878595336143,147798.15016735304,397798.15016735304,-207398.15016735304,-206564.8168340197
AMD,BOM,Ahmedabad,Mumbai,444.2,78,0.72,56,3000.0,400.0,190400.0,1039.43,42983.53238882974,250000.0,292983.53238882974,-102583.53238882974,-1831.848792657674,53729.41548603718,303729.41548603715,-113329.41548603715,-112496.08215270382
AMD,CCU,Ahmedabad,Kolkata,1619.9,78,0.72,56,3000.0,400.0,190400.0,3790.57,156751.38139858033,250000.0,406751.3813985803,-216351.38139858033,-3863.4175249746486,195939.2267482254,445939.2267482254,-255539.2267482254,-254705.89341489205
AMD,DEL,Ahmedabad,Delhi,756.5,78,0.72,56,3000.0,400.0,190400.0,1770.21,73203.4661978491,250000.0,323203.46619784913,-132803.46619784913,-2371.4904678187345,91504.33274731137,341504.3327473114,-151104.3327473114,-150270.99941397805
AMD,GOI,Ahmedabad,Goa,865.0,78,0.72,56,3000.0,400.0,190400.0,2024.1,83702.57536171774,250000.0,333702.5753617177,-143302.57536171773,-2558.9745600306737,104628.21920214717,354628.21920214716,-164228.21920214716,-163394.8858688138
AMD,JAI,Ahmedabad,Jaipur,525.5,78,0.72,56,3000.0,400.0,190400.0,1229.67,50850.524107032,250000.0,300850.524107032,-110450.52410703199,-1972.3307876255712,63563.155133789995,313563.15513379,-123163.15513378999,-122329.82180045666
AMD,MAA,Ahmedabad,Madras,1375.0,78,0.72,56,3000.0,400.0,190400.0,3217.5,133053.22673105422,250000.0,383053.22673105425,-192653.22673105425,-3440.236191625969,166316.53341381776,416316.53341381776,-225916.53341381776,-225083.2000804844
AMD,PNQ,Ahmedabad,Pune,517.4,78,0.72,56,3000.0,400.0,190400.0,1210.72,50066.88505604412,250000.0,300066.8850560441,-109666.88505604409,-1958.3372331436444,62583.60632005515,312583.60632005514,-122183.60632005514,-121350.27298672181
BBI,BLR,Bhubaneswar,Bangalore,1165.7,78,0.72,56,3000.0,400.0,190400.0,2727.74,112800.18917897927,250000.0,362800.18917897926,-172400.18917897926,-3078.5748067674867,141000.23647372407,391000.2364737241,-200600.23647372407,-199766.90314039073
BBI,BOM,Bhubaneswar,Mumbai,1361.7,78,0.72,56,3000.0,400.0,190400.0,3186.38,131766.32186209684,250000.0,381766.32186209684,-191366.32186209684,-3417.2557475374438,164707.90232762104,414707.902327621,-224307.902327621,-223474.56899428766
BBI,CCU,Bhubaneswar,Kolkata,381.9,78,0.72,56,3000.0,400.0,190400.0,893.65,36955.09434909296,250000.0,286955.094349093,-96555.09434909298,-1724.1981133766603,46193.8679363662,296193.8679363662,-105793.86793636618,-104960.53460303285
BBI,DEL,Bhubaneswar,Delhi,1277.7,78,0.72,56,3000.0,400.0,190400.0,2989.82,123637.97928361788,250000.0,373637.97928361787,-183237.97928361787,-3272.1067729217475,154547.47410452235,404547.4741045224,-214147.47410452238,-213314.14077118904
BBI,VTZ,Bhubaneswar,Vishakhapatnam,391.2,78,0.72,56,3000.0,400.0,190400.0,915.41,37854.93528574183,250000.0,287854.9352857418,-97454.93528574181,-1740.2667015311038,47318.66910717729,297318.6691071773,-106918.6691071773,-106085.33577384397
